timestamp,hive_id,latitude,longitude,temperature_c,humidity_pct,hive_weight_kg,bee_activity,acoustic_anomaly,ndvi,ndwi,macro_ndvi,precipitation_mm,weight_delta_kg_7d,ndvi_delta_14d,macro_micro_ndvi_gap,flight_radius_km,monitored_area_hectares,foraging_area_label,bee_environmental_health_score,score_status,alert_count,alert_summary
2026-04-18,BS-PAN-001,8.9824,-79.5199,33.6,55.34,37.25,0.917,0.103,0.719,0.189,0.613,4.41,0.69,-0.009,0.106,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,86.6,ambiente saudável,0,Colmeia em observação normal
2026-04-19,BS-PAN-001,8.9824,-79.5199,33.6,55.45,37.14,0.853,0.135,0.707,0.212,0.637,4.25,0.34,-0.012,0.07,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,84.4,ambiente saudável,0,Colmeia em observação normal
2026-04-20,BS-PAN-001,8.9824,-79.5199,33.23,55.71,37.35,0.847,0.198,0.731,0.205,0.628,6.33,0.38,0.024,0.103,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,85.6,ambiente saudável,0,Colmeia em observação normal
2026-04-21,BS-PAN-001,8.9824,-79.5199,33.81,57.71,37.43,0.911,0.076,0.708,0.204,0.602,4.11,0.12,-0.023,0.106,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,85.3,ambiente saudável,0,Colmeia em observação normal
2026-04-22,BS-PAN-001,8.9824,-79.5199,33.41,57.27,37.3,0.819,0.109,0.714,0.199,0.643,4.58,0.07,0.023,0.071,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,84.3,ambiente saudável,0,Colmeia em observação normal
2026-04-23,BS-PAN-001,8.9824,-79.5199,32.61,58.14,37.25,0.824,0.155,0.692,0.228,0.619,6.13,0.01,0.055,0.073,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,84.5,ambiente saudável,0,Colmeia em observação normal
2026-04-24,BS-PAN-001,8.9824,-79.5199,33.18,56.73,37.41,0.874,0.14,0.697,0.183,0.619,3.95,0.21,0.011,0.078,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,84.1,ambiente saudável,0,Colmeia em observação normal
2026-04-25,BS-PAN-001,8.9824,-79.5199,32.32,57.75,37.65,0.832,0.103,0.68,0.151,0.609,4.2,0.4,0.011,0.071,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,83.8,ambiente saudável,0,Colmeia em observação normal
2026-04-26,BS-PAN-001,8.9824,-79.5199,33.17,58.64,38.08,0.839,0.114,0.708,0.21,0.613,5.13,0.94,0.03,0.095,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,87.0,ambiente saudável,0,Colmeia em observação normal
2026-04-27,BS-PAN-001,8.9824,-79.5199,32.48,57.6,38.66,0.827,0.058,0.665,0.172,0.626,2.72,1.31,0.0,0.039,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,86.2,ambiente saudável,0,Colmeia em observação normal
2026-04-28,BS-PAN-001,8.9824,-79.5199,32.2,58.98,38.83,0.836,0.109,0.696,0.178,0.614,4.99,1.4,0.014,0.082,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,87.3,ambiente saudável,0,Colmeia em observação normal
2026-04-29,BS-PAN-001,8.9824,-79.5199,31.71,57.75,38.79,0.865,0.108,0.674,0.196,0.618,5.36,1.49,-0.041,0.056,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,86.7,ambiente saudável,0,Colmeia em observação normal
2026-04-30,BS-PAN-001,8.9824,-79.5199,32.52,58.52,38.55,0.809,0.13,0.694,0.142,0.615,4.56,1.3,-0.011,0.079,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,86.2,ambiente saudável,0,Colmeia em observação normal
2026-05-01,BS-PAN-001,8.9824,-79.5199,31.52,58.86,38.71,0.819,0.095,0.682,0.145,0.626,4.23,1.3,-0.046,0.056,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,84.7,ambiente saudável,0,Colmeia em observação normal
2026-05-02,BS-PAN-001,8.9824,-79.5199,31.11,58.1,38.69,0.714,0.141,0.696,0.135,0.597,5.34,1.04,-0.023,0.099,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,82.5,ambiente saudável,0,Colmeia em observação normal
2026-05-03,BS-PAN-001,8.9824,-79.5199,30.9,60.84,38.73,0.774,0.166,0.671,0.145,0.576,3.25,0.65,-0.036,0.095,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,80.0,ambiente saudável,0,Colmeia em observação normal
2026-05-04,BS-PAN-001,8.9824,-79.5199,31.13,59.88,38.74,0.736,0.127,0.625,0.162,0.611,5.31,0.08,-0.106,0.014,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,76.9,atenção,0,Colmeia em observação normal
2026-05-05,BS-PAN-001,8.9824,-79.5199,30.79,60.93,38.83,0.713,0.136,0.647,0.16,0.586,6.97,0.0,-0.061,0.061,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,76.7,atenção,0,Colmeia em observação normal
2026-05-06,BS-PAN-001,8.9824,-79.5199,30.58,61.94,39.11,0.715,0.122,0.622,0.152,0.604,6.36,0.32,-0.092,0.018,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,75.7,atenção,0,Colmeia em observação normal
2026-05-07,BS-PAN-001,8.9824,-79.5199,30.37,62.23,39.25,0.726,0.12,0.629,0.12,0.59,5.29,0.7,-0.063,0.039,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,76.2,atenção,0,Colmeia em observação normal
2026-05-08,BS-PAN-001,8.9824,-79.5199,31.1,62.85,39.33,0.761,0.088,0.662,0.102,0.579,4.87,0.62,-0.035,0.083,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,78.8,atenção,0,Colmeia em observação normal
2026-05-09,BS-PAN-001,8.9824,-79.5199,29.51,62.06,39.27,0.675,0.134,0.642,0.139,0.583,5.71,0.58,-0.038,0.059,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,75.1,atenção,0,Colmeia em observação normal
2026-05-10,BS-PAN-001,8.9824,-79.5199,29.29,61.84,39.12,0.716,0.116,0.615,0.128,0.605,4.46,0.39,-0.093,0.01,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,73.5,atenção,0,Colmeia em observação normal
2026-05-11,BS-PAN-001,8.9824,-79.5199,28.99,62.53,39.15,0.693,0.214,0.607,0.141,0.605,4.61,0.41,-0.058,0.002,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,71.7,atenção,0,Colmeia em observação normal
2026-05-12,BS-PAN-001,8.9824,-79.5199,29.67,60.44,39.25,0.694,0.191,0.623,0.144,0.573,5.63,0.42,-0.073,0.05,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,74.2,atenção,0,Colmeia em observação normal
2026-05-13,BS-PAN-001,8.9824,-79.5199,29.88,60.89,39.64,0.737,0.137,0.599,0.133,0.573,2.81,0.53,-0.075,0.026,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,74.2,atenção,0,Colmeia em observação normal
2026-05-14,BS-PAN-001,8.9824,-79.5199,29.15,61.13,39.77,0.719,0.086,0.608,0.143,0.586,4.28,0.52,-0.086,0.022,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,74.0,atenção,0,Colmeia em observação normal
2026-05-15,BS-PAN-001,8.9824,-79.5199,28.74,61.6,40.04,0.747,0.07,0.626,0.134,0.557,3.91,0.71,-0.056,0.069,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,75.1,atenção,0,Colmeia em observação normal
2026-05-16,BS-PAN-001,8.9824,-79.5199,28.77,63.53,40.07,0.695,0.174,0.641,0.139,0.575,5.06,0.8,-0.055,0.066,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,74.2,atenção,0,Colmeia em observação normal
2026-05-17,BS-PAN-001,8.9824,-79.5199,29.63,61.62,39.99,0.679,0.132,0.632,0.119,0.571,5.0,0.87,-0.039,0.061,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,75.3,atenção,0,Colmeia em observação normal
2026-05-18,BS-PAN-001,8.9824,-79.5199,29.77,62.23,39.95,0.698,0.142,0.582,0.129,0.577,5.81,0.8,-0.043,0.005,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,72.9,atenção,0,Colmeia em observação normal
2026-05-19,BS-PAN-001,8.9824,-79.5199,29.77,64.41,39.94,0.719,0.041,0.631,0.137,0.562,6.76,0.69,-0.016,0.069,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,75.8,atenção,0,Colmeia em observação normal
2026-05-20,BS-PAN-001,8.9824,-79.5199,29.25,61.88,40.39,0.723,0.162,0.63,0.15,0.552,3.24,0.75,0.008,0.078,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,75.3,atenção,0,Colmeia em observação normal
2026-05-21,BS-PAN-001,8.9824,-79.5199,29.91,63.16,40.37,0.685,0.14,0.639,0.132,0.548,5.09,0.6,0.01,0.091,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,75.2,atenção,0,Colmeia em observação normal
2026-05-22,BS-PAN-001,8.9824,-79.5199,30.04,60.53,40.61,0.734,0.07,0.665,0.15,0.565,6.24,0.57,0.003,0.1,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,78.8,atenção,0,Colmeia em observação normal
2026-05-23,BS-PAN-001,8.9824,-79.5199,30.3,61.24,40.58,0.747,0.099,0.603,0.14,0.578,3.07,0.51,-0.039,0.025,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,75.4,atenção,0,Colmeia em observação normal
2026-05-24,BS-PAN-001,8.9824,-79.5199,30.89,59.85,40.84,0.837,0.132,0.634,0.146,0.584,5.42,0.85,0.019,0.05,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,80.0,ambiente saudável,0,Colmeia em observação normal
2026-05-25,BS-PAN-001,8.9824,-79.5199,31.1,59.54,40.81,0.806,0.161,0.646,0.152,0.615,6.04,0.86,0.039,0.031,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,80.5,ambiente saudável,0,Colmeia em observação normal
2026-05-26,BS-PAN-001,8.9824,-79.5199,31.92,60.01,40.7,0.703,0.184,0.598,0.094,0.6,2.34,0.76,-0.025,-0.002,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,76.0,atenção,0,Colmeia em observação normal
2026-05-27,BS-PAN-001,8.9824,-79.5199,32.16,55.22,40.6,0.715,0.231,0.644,0.096,0.566,4.4,0.21,0.045,0.078,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,76.9,atenção,0,Colmeia em observação normal
2026-05-28,BS-PAN-001,8.9824,-79.5199,32.86,57.06,40.4,0.667,0.263,0.615,0.083,0.584,4.07,0.03,0.007,0.031,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,74.2,atenção,0,Colmeia em observação normal
2026-05-29,BS-PAN-001,8.9824,-79.5199,33.63,55.6,40.39,0.689,0.319,0.615,0.058,0.57,5.04,-0.22,-0.011,0.045,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,71.6,atenção,0,Colmeia em observação normal
2026-05-30,BS-PAN-001,8.9824,-79.5199,33.05,53.26,40.22,0.713,0.417,0.581,0.076,0.569,1.59,-0.36,-0.06,0.012,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,69.5,atenção,0,Colmeia em observação normal
2026-05-31,BS-PAN-001,8.9824,-79.5199,34.23,50.91,39.94,0.736,0.274,0.597,0.09,0.574,2.63,-0.9,-0.035,0.023,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,68.6,atenção,0,Colmeia em observação normal
2026-06-01,BS-PAN-001,8.9824,-79.5199,34.68,51.9,39.64,0.659,0.417,0.592,0.062,0.577,5.83,-1.17,0.01,0.015,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,64.6,atenção,0,Colmeia em observação normal
2026-06-02,BS-PAN-001,8.9824,-79.5199,35.11,49.95,39.58,0.652,0.474,0.567,0.059,0.56,0.24,-1.12,-0.064,0.007,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,61.8,atenção,1,Possível impacto climático
2026-06-03,BS-PAN-001,8.9824,-79.5199,35.81,49.95,39.74,0.589,0.518,0.556,0.063,0.577,0.87,-0.86,-0.074,-0.021,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,59.8,atenção,1,Possível impacto climático
2026-06-04,BS-PAN-001,8.9824,-79.5199,37.26,48.62,39.68,0.647,0.526,0.546,0.056,0.54,1.5,-0.72,-0.093,0.006,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,58.1,atenção,1,Possível impacto climático
2026-06-05,BS-PAN-001,8.9824,-79.5199,36.41,49.84,39.57,0.603,0.502,0.514,0.02,0.553,1.78,-0.82,-0.151,-0.039,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,56.5,atenção,2,Possível redução de florada · Possível impacto climático
2026-06-06,BS-PAN-001,8.9824,-79.5199,37.83,46.31,39.52,0.608,0.635,0.515,0.032,0.587,2.91,-0.7,-0.088,-0.072,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,53.3,atenção,1,Possível impacto climático
